event_type,timestamp,callback_index,outdoor_temp_c,zone_temp_c,primary_zone,electricity_demand_w,interval_kwh,cumulative_kwh,action_json,reasoning,zone_temp_Core_ZN,zone_temp_Perimeter_ZN_1,zone_temp_Perimeter_ZN_2,zone_temp_Perimeter_ZN_3,zone_temp_Perimeter_ZN_4
sensor,1979-06-21 19:15,978,27.516666666666666,25.235563562625785,Core_ZN,1287.8343292748702,0.21463905487914503,462.80974888879945,,,25.235563562625785,25.33645659761928,25.04232561411866,25.367987933357313,25.0734887212719
sensor,1979-06-21 19:23,979,27.233333333333334,25.22485449274845,Core_ZN,2733.1742336254347,0.4555290389375724,463.26527792773703,,,25.22485449274845,25.588501996125984,25.003879519942004,25.436183561300027,25.00606885365813
sensor,1979-06-21 19:33,980,26.950000000000003,25.210525296346965,Core_ZN,2601.244831889738,0.43354080531495637,463.698818733052,,,25.210525296346965,25.016756497474052,25.000589057018317,25.026594497312185,25.00054045044451
sensor,1979-06-21 19:43,981,26.666666666666664,25.19331529769451,Core_ZN,1294.9858081806058,0.21583096803010096,463.9146497010821,,,25.19331529769451,25.001029546463798,25.400224902862945,25.001711678575766,25.55521305301289
sensor,1979-06-21 19:55,982,26.383333333333336,25.172328228146043,Core_ZN,1230.4424081425261,0.205073734690421,464.1197234357725,,,25.172328228146043,25.27053841463333,25.040747467837306,25.25480108050786,25.05554414411406
sensor,1979-06-21 19:65,983,26.1,25.151610535991203,Core_ZN,1249.3933246638735,0.20823222077731224,464.3279556565498,,,25.151610535991203,25.43564163045746,25.00748863086607,25.41133739624756,25.009426630957556
decision,1979-06-21 19:65,983,26.1,25.151610535991203,Core_ZN,1249.3933246638735,0.20823222077731224,464.3279556565498,"{""cooling"": {""Core_ZN"": 26.5, ""Perimeter_ZN_1"": 26.5, ""Perimeter_ZN_2"": 26.5, ""Perimeter_ZN_3"": 26.5, ""Perimeter_ZN_4"": 26.5}, ""heating"": {""Core_ZN"": 21.0, ""Perimeter_ZN_1"": 21.0, ""Perimeter_ZN_2"": 21.0, ""Perimeter_ZN_3"": 21.0, ""Perimeter_ZN_4"": 21.0}}",Heuristic fallback (rate-limit): Night setback cooling=27.0°C multi-zone x5,25.151610535991203,25.43564163045746,25.00748863086607,25.41133739624756,25.009426630957556
sensor,1979-06-21 20:13,984,25.81666666666667,25.13203756075431,Core_ZN,876.8731190463985,0.1461455198410664,464.4741011763909,,,25.13203756075431,25.484027432120683,25.658464829100232,25.457388902433465,25.735727536021685
sensor,1979-06-21 20:25,985,25.533333333333335,25.109825677661767,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.47410117639157,,,25.109825677661767,25.49289851744151,25.797597465538658,25.465253615965764,25.948282969758747
sensor,1979-06-21 20:35,986,25.25,25.08867173155356,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.47410117639225,,,25.08867173155356,25.48330515460491,25.761571657050133,25.45545362248873,25.93846467536073
sensor,1979-06-21 20:45,987,24.96666666666667,25.0672895122705,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.47410117639294,,,25.0672895122705,25.467140031707796,25.746282733982483,25.439684840581535,25.930140385253004
sensor,1979-06-21 20:55,988,24.68333333333333,25.04580406743345,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.4741011763936,,,25.04580406743345,25.447622723315725,25.732632030060103,25.421068507017562,25.917793120687254
sensor,1979-06-21 20:65,989,24.4,25.0239361135744,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.4741011763943,,,25.0239361135744,25.425909819665392,25.717448543008693,25.400694351322286,25.902509756729494
sensor,1979-06-21 21:15,990,24.133333333333333,25.002283401590578,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.474101176395,,,25.002283401590578,25.40307143126465,25.70071203775783,25.37955540973126,25.885555366055883
sensor,1979-06-21 21:25,991,23.866666666666667,24.979357913256514,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.47410117639566,,,24.979357913256514,25.379237958556423,25.68219459360039,25.35775356723142,25.867060924778254
sensor,1979-06-21 21:35,992,23.6,24.9564649282952,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.47410117639635,,,24.9564649282952,25.354345567216328,25.661830478414714,25.33517461985749,25.847015766354183
sensor,1979-06-21 21:45,993,23.333333333333336,24.933487157875366,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,464.474101176397,,,24.933487157875366,25.32835445761662,25.639701268923773,25.311741790651737,25.825461080565113
