event_type,timestamp,callback_index,outdoor_temp_c,zone_temp_c,primary_zone,electricity_demand_w,interval_kwh,cumulative_kwh,action_json,reasoning,zone_temp_Core_ZN,zone_temp_Perimeter_ZN_1,zone_temp_Perimeter_ZN_2,zone_temp_Perimeter_ZN_3,zone_temp_Perimeter_ZN_4
sensor,1979-06-24 01:40,1305,11.866666666666667,23.009859018390053,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568849,,,23.009859018390053,22.604745948874132,22.64640667176022,22.665207119087825,22.85397295986873
sensor,1979-06-24 01:50,1306,11.783333333333333,22.985708269575028,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568856,,,22.985708269575028,22.570070428174,22.611086118226037,22.632652982659494,22.818034078745413
sensor,1979-06-24 01:60,1307,11.7,22.96129526583966,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568862,,,22.96129526583966,22.53491025567173,22.575328975464146,22.59968232522155,22.781667133137063
sensor,1979-06-24 02:10,1308,11.6,22.935884121821214,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568869,,,22.935884121821214,22.500653339912343,22.54042134014044,22.567490388452434,22.746003577075747
sensor,1979-06-24 02:20,1309,11.5,22.90998593670789,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568876,,,22.90998593670789,22.466447237590387,22.505525558486024,22.535354798889784,22.710326111956093
sensor,1979-06-24 02:30,1310,11.399999999999999,22.88377386584856,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568883,,,22.88377386584856,22.432100956198536,22.470479993167555,22.50312358412668,22.674523273900036
sensor,1979-06-24 02:40,1311,11.3,22.857319759414086,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.132634656889,,,22.857319759414086,22.397518816085416,22.435168139637923,22.470751090220098,22.638572222806005
sensor,1979-06-24 02:50,1312,11.2,22.830654721486642,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568896,,,22.830654721486642,22.362929068254026,22.400166543715848,22.4382101932558,22.602462223524725
sensor,1979-06-24 02:60,1313,11.1,22.803792686471645,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.1326346568903,,,22.803792686471645,22.328696607893114,22.36544955355954,22.405465430513274,22.566180995136488
sensor,1979-06-24 03:10,1314,10.916666666666666,22.772920493259587,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,520.132634656891,,,22.772920493259587,22.289931295348946,22.326127110093022,22.36798488616626,22.52487559273562
